,character,info
0,Hannah Abbott , Hufflepuff student in Harry Potter's year. Prefect and member of Dumbledore's Army. Married to Neville Longbottom.
1,Ludo Bagman , Head of the Department of Magical Games and Sports within the Ministry of Magic.
2,Bathilda Bagshot ," Author of A History of Magic, and the great aunt of Gellert Grindelwald."
3,Katie Bell , Gryffindor Quidditch Chaser one year above Harry Potter. Member of Dumbledore's Army.
4,Cuthbert Binns ," ghost, History of Magic professor."
5,Phineas Nigellus Black , Great-great-grandfather of Sirius Black and former Hogwarts headmaster. His painting hangs in the office and assists the current headmaster.
6,Sirius Black , Harry's godfather who was a close friend of Harry's father James. Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.
7,Amelia Bones ," Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones. Killed by Lord Voldemort."
8,Susan Bones , Hufflepuff student in Harry's year. Member of Dumbledore's Army.
9,Terry Boot , Ravenclaw student in Harry's year. Member of Dumbledore's Army.
10,Lavender Brown , Gryffindor student in Harry's year and member of Dumbledore's Army. Killed in the Battle of Hogwarts.
11,Millicent Bulstrode , Slytherin student in Harry's year. Member of Dolores Umbridge's Inquisitorial Squad.
12,Charity Burbage , Professor of Muggle Studies at Hogwarts. Killed by Lord Voldemort.
13,Frank Bryce , Muggle gardener for the Riddle family. Killed by Lord Voldemort.
14,Alecto Carrow ," Death Eater and sister of Amycus Carrow. Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape."
15,Amycus Carrow ," Death Eater and brother of Alecto Carrow. Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape."
16,Reginald Cattermole , Employee of the Magical Maintenance Department for the Ministry of Magic. Impersonated by Ron Weasley.
17,Cho Chang ," Ravenclaw Quidditch Seeker one year above Harry, and his first love interest. Member of Dumbledore's Army."
18,Penelope Clearwater , Ravenclaw prefect and girlfriend of Percy Weasley.
19,Crabbe , Death Eater and father of Vincent Crabbe.
